antibody_id,virus_id,neut
PC39-50I,BJOX028000_10_3,0
3BNC117,H086_8,0
PGT142,BR07,0
PGT143,CNE19,0
IOMA-HC-DDE,BJOX010000_06_2,0
2F5,SHIV_CNE40_JD14_W29_2,0
PC39-50I,X2088_C9,0
PGT137,92RW024,0
HJ16,CNE52,0
GPZ6-a.01,P1981_C5_3,0
PC39-23A,C1080_C3,0
48d,AIIMS731_73105E,0
VRC23,TZA125_17,0
VRC26.23,DU172_17,0
41328-a.01,SC422_8,0
2G12,BJX4_6,0
PC39-50E,94UG103,0
VRC06,R2184_C4,0
PCT64-24A,HXB2,0
DFPH-a.03,M02138,0
8ANC195,T250_4,0
PC39-28E,T255_34,0
1-79,RHPA4259_7,0
2F5,CAP301_2_00_C3_20,0
10-1074,R1166_C1,0
DH270.1,246_F3_C10_2,0
PGT135,MB539_2B7,0
VRC26.09,SS1196_1,0
LJF-0024,3168_V4_C10,0
10-1074,B028_ENV06,0
RHA10.01,CAP210_E8,0
VRC38.08,57128_VRC15,0
PCT64-35M,CNE52,0
DFPH-a.03,P1981_C5_3,0
PCT64-18F,92BR020,0
RHA1.V2.01,57128_VRC15,0
PCT64-35D,703010054_2A2,0
PCT64-35M,TRO_11,0
DFPH-a.03,16055_2_3,0
VRC23,WITO4160_33,0
VRC06b,UG037_8,0
A12V163-b.01,H086_8,0
VRC40.02,3468_V1_C12,0
0PV-b.01,191821_E6_1,0
LJF-0109,ZM249_1,0
1F7,DU156_12,0
10-1074,1HD4K_W4_062316PL4_A11_S47,0
447-52D,UG024_2,0
PC39-23A,16055_2_3,0
DH851.2,235_47,0
48d,16936_2_21,0
Z13e1,231965_C1,0
3BC315,6471_V1_C16,0
3BNC117,VRC607_4_00_B11,0
697-D,PVO_4,0
2F5,DJ263_8,0
V033-a.01,BX08_16,0
vFP7.04,89_6,0
RHA10.01,ZM53_12,0
PCT64-24E,CAAN5342,0
PCT64-35M,X1254_C3,0
PCT64-24A,JRFL,0
DH270min12,X2131_C1_B5,0
Z13e1,JRFL,0
916B2,CAP210_E8,0
3BNC117,VRC607_9_14_A10,0
2G12,BC09,0
0PV-b.01,H086_8,0
40591-a.01,Q769_D22,0
vFP5.01,3988_25,0
VRC44.01,TH966_8,0
8ANC195,C3347_C11,0
PG16,6631_V3_C10,0
PCT64-35G,703010200_1E5,0
M1214_N1,T278_50,0
GPZ6-a.01,6471_V1_C16,0
b13,X2088_C9,0
ACS114,CAP45_G3,0
DH270 IA3,TRJO4551_58,0
VRC06b,0921_V2_C14,0
vFP7.04,KER2018_11,0
VRC06b,6540_V4_C1,0
PGT135,ZM53_12,0
830A,QH0692_42,0
m66,001428_2_42,0
DJ85-b.01,3637_V5_C3,0
T646-a.01,MS208_A1,0
A12V163-a.01,25925_2_22,0
PCT64-35B,CAAN5342,0
HJ16,CAP45_G3,0
DH851.1,0013095_2_11,0
3BNC117,VRC607_6_00_A11,0
HERH-a.01,CNE4,0
ACS114,CNE55,0
2G12,3168_V4_C10,0
PC39-28C,6041_V3_C23,0
2411a,CNE12,0
48d,C4118_9,0
VRC06,3337_V2_C6,0
RHA10.04,231965_C1,0
PGT126,CE2060_G9,0
PG9,NKU3006_EC1,0
F105,PVO_4,0
PCT64-35B,BJOX010000_06_2,0
PCT64-18F,6535_3,0
2G12,BL035_W6M_C1,0
CH01,6322_V4_C1,0
CH103,DU156_12,0
vFP49.02,C2101_C1,0
vFP5.01,X2131_C1_B5,0
DH272,6540_V4_C1,0
Ab1573,Q23_17,0
PCDN-27B,TRJO4551_58,0
LJF-0085,DU156_12,0
DH475,57128_VRC15,0
ACS122,CNE30,0
V033-a.01,1394_C9G1,0
PGT137,SC422_8,0
2G12,C2101_C1,0
HJ16,89_F1_2_25,0
10-1074,2319_V7_D2_4,0
LJF-0109,3468_V1_C12,0
VRC34.05,A03349M1_VRC4A,0
LJF-0034,KO426_T78_10,0
0PV-c.01,6095_V1_C10,0
PGDM1400,569_F1_37_10,0
PCT64-24E,T251_18,0
179NC75,CAP45_G3,0
ACS130,DU156_12,0
VRC26.06,ZA012_29,0
Z13e1,25711_2_4,0
PGT135,DU151_02,0
447-52D,928_28,0
A12V163-a.01,NKU3006_EC1,0
PCT64-24E,0815_V3_C3,0
ACS202,Q769_D22,0
ACS114,CE0393_C3,0
6561-a.01,CAAN5342,0
PCT64-35G,0013095_2_11,0
ACS122,6811_V7_C18,0
830A,B004_ENV02,0
VRC06b,CNE3,0
DF1W-a.02,CAP256_SU,0
LJF-0024,3016_V5_C45,0
Z13e1,57128_VRC15,0
vFP53.02,3718_3_11,0
VRC43.01,16936_2_21,0
2C06,928_28,0
PCT64-35E,92BR020,0
447-52D,A07412M1_VRC12,0
179NC75,UG024_2,0
ElsE1,TRJO4551_58,0
V033-a.01,TV1_29,0
vFP53.02,CH070_1,0
PCT64-35C,DU422_1,0
b13,CAP210_E8,0
VRC46.01,CM244_EC1,0
DH270min12,MS208_A1,0
3019,6535_3,0
PGT141,DU172_17,0
DF1W-a.01,25711_2_4,0
1-79,ZENV07_0504_15,0
VRC42.I3,CNE31,0
VRC01,T250_4,0
HJ16,ZA012_29,0
N49P9.1,620345_C1,0
PGT135,C4118_9,0
M1214_N2,T257_31,0
PCDN-27B,RHPA4259_7,0
917B11,THRO_C,0
ElsE2,X2131_C1_B5,0
PC39-23A,620345_C1,0
J040,92RW020_2,0
ElsE1,703010054_2A2,0
CH04,SS1196_1,0
DH475,C1080_C3,0
M1214_N2,C3347_C11,0
PGDM1400,B015_ENV07,0
DH270min12,BR07,0
TRNM-e.01,231965_C1,0
PC39-50L,T251_18,0
A12V163-b.01,92RW020_2,0
CH103,CNE3,0
VRC26.10,CAAN5342,0
VRC26.31,Q23_17,0
CH12,X1254_C3,0
VRC38.11,Q168_A2,0
VRC26.07,BG505_W6M_C2,0
5695-b.01,231965_C1,0
ACS202,T280_5,0
VRC23,0077_V1_C16,0
VRC34-pI3,UG037_8,0
PGT135,246_F3_C10_2,0
VRC42.I3,26191_2_48,0
GPZ6-a.01,QH0692_42,0
PCT64-35M,191821_E6_1,0
vFP7.04,191821_E6_1,0
PCDN-27B,QH0692_42,0
48d,C2101_C1,0
VRC-PG20,CNE10,0
DFPH-a.03,BS208_B1,0
2413a,928_28,0
N6LS.C51,TV1_29,0
PCT64-35G,CAAN5342,0
ElsE1,6480_V4_C25,0
MinVRC01,235_47,0
CH12,3016_V5_C45,0
5695-b.01,DU156_12,0
2F5,6811_V5_C20,0
830A,6535_3,0
T646-a.01,C3347_C11,0
m66,ZA012_29,0
PC39-45A,CAP45_G3,0
3BC315,CNE20,0
VRC23,247_23,0
ACS101,CNE58,0
41328-a.01,6540_V4_C1,0
2G12,BJ17A_6,0
b13,ZM214_15,0
DF1W-a.02,6785_V5_C14,0
41328-a.01,0815_V3_C3,0
PCIN71I1a,620345_C1,0
2413a,BR07,0
VRC01-0fH/0fL,DU156_12,0
vFP1.01,CNE10,0
vFP7.04,16845_2_22,0
10-1074,9372_V7_F1_2,0
DJ85-e.01,T250_4,0
MinVRC01,Q842_D12,0
PGT152,6244_13_B5_4567,0
PCIN71N1a,89_6,0
2F5,DU151_02,0
6561-a.01,C3347_C11,0
PCT64-24E,TRO_11,0
DH1317.9,TRJO4551_58,0
3BC315,A03349M1_VRC4A,0
PGT135,26191_2_48,0
Bess4,T255_34,0
HERH-b.01,PVO_4,0
N49P7.2,6540_V4_C1,0
A12V163-a.01,CAP256_SU,0
LJF-0034,DU422_1,0
VRC26.02,WITO4160_33,0
PGZL1_gVmDmJ,C1080_C3,0
41328-a.01,CNE19,0
PGT125,SC422_8,0
PGT142,CNE31,0
vFP49.02,3415_V1_C1,0
CH01,6952_V1_C20,0
0PV-c.01,3718_3_11,0
ACS117,CE1086_B2,0
J038,MB201_A1,0
PCT64-35G,6244_13_B5_4567,0
VRC01-0fH/0fL,TRO_11,0
10-1074,BG505_W6M_C2,0
PC39-50L,ZM53_12,0
M1214_N2.2,THRO4156,0
2G12,98_F4_H5_13,0
2G12,X1100_C7,0
VRC24,57128_VRC15,0
0PV-b.01,92RW020_2,0
CH04,QH0692_42,0
m66,UG037_8,0
PC39-28C,231965_C1,0
PG16,CNE30,0
HERH-a.01,T257_31,0
DFPH-a.03,DU422_1,0
3BC315,16936_2_21,0
PCDN-16A,92BR020,0
ACS122,CNE20,0
PGT126,0013095_2_11,0
