antibody_id,virus_id,neut
DH651.8,X1632_S2_B10,0
PGT125,BF1266_431A,0
VRC26.03,TZA125_17,0
vFP5.01,P0402_C2_11,0
PC39-23D,X1632_S2_B10,0
LJF-0097,KNH1144,0
2G12,CT140_140_B6,0
VRC26.27,Q23_17,0
DJ85-b.01,6785_V5_C14,0
vFP5.01,Q168_A2,0
VRC01,CNE6,0
CH103,3873_V1_C24,0
DFPH-a.01,6322_V4_C1,0
0PV-c.01,25925_2_22,0
M1214_N1.2,R3265_C6,0
vFP7.05,KER2018_11,0
LJF-0109,16055_2_3,0
PC39-50L,CNE5,0
TRNM-b.01,R1166_C1,0
PCDN-16A,92RW020_2,0
HmAb64,BL01,0
PGT126,191955_A11,0
42056-a.01,CNE30,0
2F5,CNE65,0
b12,BJ5_11,0
CH04,X1254_C3,0
VRC34-UCA,ZM55_28A,0
DH270min12,MN_3,0
VRC40.02,CM244_EC1,0
b12,BJ613_E1,0
ACS101,6405_V4_C34,0
VRC26.03,A03349M1_VRC4A,0
Z13e1,ZM55_28A,0
KD-247,DU172_17,0
VRC38.03,6101_1,0
VRC34.05,DU156_12,0
DH270min12,C3347_C11,0
bNAb1586,25710_2_43,0
VRC34.05,26191_2_48,0
A12V163-a.01,CNE12,0
HERH-c.01,CNE40,0
VRC43.01,25710_2_43,0
0PV-b.01,X2088_C9,0
ACS125,16055_2_3,0
VRC26.01,AC10_29,0
PGT143,3016_V5_C45,0
vFP52.02,16936_2_21,0
VRC26.32,DU172_17,0
DFPH-a.03,3337_V2_C6,0
J038,ZM106_9,0
LJF-0142,BG505_W6M_C2,0
2G12,A07412M1_VRC12,0
vFP48.02,CNE30,0
BG505.61,QC406_70M_F3,0
447-52D,25711_2_4,0
179NC75,242_14,0
PCT64-35D,3817_V2_C59,0
vFP16.02,6535_3,0
CH103,TZA125_17,0
0PV-b.01,3016_V5_C45,0
VRC26.03,3415_V1_C1,0
15e,CH181_12,0
0PV-b.01,TH966_8,0
VRC26.09,3817_V2_C59,0
Z13e1,5768_4,0
2G12,GX43_2,0
F105,6322_V4_C1,0
DF1W-a.01,BAL_26,0
PC39-55C,X1632_S2_B10,0
HERH-a.01,CNE30,0
VRC42.I3,CAAN5342,0
CH58,703357_C2,0
10-1074,1HC3_W4_012616_G4_S89,0
M1214_N2,C3347_C11,0
PGT152,CE1172_H1,0
PCT64-24H,SC422_8,0
N49P19,620345_C1,0
VRC03,Q842_D12,0
PCT64-35B,Q259_17,0
PGT121,ELI,0
179NC75,M02138,0
PG16,SF162,0
DRVIA7,JRCSF,0
0PV-c.01,A07412M1_VRC12,0
PGDM21,CE2060_G9,0
LJF-0097,X2088_C9,0
2411a,DU151_02,0
PGDM21,MS208_A1,0
PCT64-35B,3817_V2_C59,0
IOMAmin3,BJOX010000_06_2,0
PCDN-38B,C1080_C3,0
PGT121,3637_V5_C3,0
VRC43.03,THRO4156,0
0PV-b.01,3365_V2_C20,0
PCIN71N1a,BAL_01,0
CH103,CAP256_SU,0
vFP16.02,3326_V4_C3,0
DH270min12,Q259_17,0
A12V163-b.01,P1981_C5_3,0
PCDN-16A,SS1196_1,0
VRC26.32,UG037_8,0
DH270.3,CH848_0000_TF,0
PC39-50J,CAP45_G3,0
CH235,96ZM651_02,0
2F5,98CN006,0
T646-a.01,BJOX010000_06_2,0
A12V163-a.02,001428_2_42,0
PCT64-35E,TRO_11,0
Min12A21,CE1086_B2,0
DH270min1,3415_V1_C1,0
447-52D,B013_ENV02,0
V031-a.01,0260_V5_C36,0
8ANC131,CH117_4,0
42056-a.01,704809221_1B3,0
PGZL1_gVmDmJ,R3265_C6,0
DH270min12,UG021_16,0
A12V163-b.01,16936_2_21,0
vFP16.02,NKU3006_EC1,0
V033-a.01,ZM214_15,0
VRC06b,242_14,0
5695-b.01,CH119_10,0
DH851.1,0260_V5_C36,0
IOMA,ZM233_6,0
vFP49.02,CAP256_SU,0
b12,98_F4_H5_13,0
HJ16,6041_V3_C23,0
2G12,CNE14,0
DFPH-a.03,R2184_C4,0
CH01,CE2010_F5,0
CH02,CNE21,0
6070-a.01,928_28,0
6561-a.01,191955_A11,0
PGT135,MB201_A1,0
DFPH-a.15,BJOX028000_10_3,0
m66,ADA,0
DH851.2,TRJO4551_58,0
HJ16,89_6,0
PC39-50K,C1080_C3,0
PCT64-35S,JRFL,0
DH270 IA3,Q769_D22,0
VRC34-UCA,3988_25,0
PGT145,SF162,0
1-79,QH0692_42,0
VRC26.13,TRJO4551_58,0
b12,92BR020,0
2C09,CNE56,0
PCIN71I1a,6540_V4_C1,0
DH851.2,CNE21,0
DFPH-a.01,A07412M1_VRC12,0
2G12,BC09,0
VRC26.06,NKU3006_EC1,0
DH650.8,3817_V2_C59,0
2G12,CAP382_2_00_D7_19,0
PCT64-18C,DU172_17,0
vFP52.02,CNE55,0
A12V163-a.02,SF162,0
VRC42.05,247_23,0
DFPH-a.01,57128_VRC15,0
PCT64-35H,ADA,0
E51,DU151_02,0
VRC34-pI3,247_23,0
A12V163-a.02,ZM197_7,0
PG16,6244_13_B5_4567,0
DFPH-a.15,ZM197_7,0
17b,SHIV_CNE40_JB98_W29_3,0
VRC34-pI2',CNE19,0
IOMAmin5,6545_V4_C1,0
VRC-CH31,6322_V4_C1,0
PCDN-38A,CAP45_G3,0
VRC34-pI3,MN_3,0
0PV-b.01,CNE15,0
PG9,6095_V1_C10,1
8ANC134,0439_V5_C1,1
PGT135,MS208_A1,1
2413c,MB201_A1,1
VRC01,VC4_15_136377_046,1
2408c.3,CNE53,1
VRC07-523LS.v32,7165_18,1
VRC01,A08483M1_VRC9,1
PGT152,1006_11_C3_1601,1
VRC40.02,JRFL,1
MinVRC01,WEAU_D15_410,1
3BNC117,AIIMS731_73105B,1
VRC-PG04,APV_6,1
VRC02,YU2,1
N49P23,THRO4156,1
PG9,SC13_EC03,1
PCIN71G,MS208_A1,1
SF12,PVO_4,1
10-1074,TSG22Y02E0037_DE37,1
PGZL1.H4K3,92RW020_2,1
VRC26.01,ZM197_7,1
VRC34.01,TSG21N01N018,1
2413c,CH181_12,1
DH511.3,398_F1_F6_20,1
N6LS.C51,BAL_26,1
PGT121,APV_13,1
iMab,CNE23,1
0PV-b.01,BB201_B42,1
2411a,PVO_4,1
VRC26.27,CNE21,1
PC39-39C,BAL_01,1
PGT131,BAL_01,1
PGT125,98CN009,1
10E8,09GX268,1
MEL-2129,92RW020_2,1
SF3,YU2,1
SF5,CE2010_F5,1
PGT123,CNE17,1
NIH45-46,3589_V1_C4,1
EN02_04_A06,288_38,1
VRC42.01,MW965_26,1
PGT151,AIIMS706_70606Z,1
561_01_18,6811_V7_C18,1
DF1W-a.02,QH209_14M_A2,1
VRC07,19314479_A2_5,1
DH651.5,X1632_S2_B10,1
DH511.11P,S32224_174WK_C33,1
N49P23,MS208_A1,1
EN01_007,V703_0203_081_RE_E8A5S,1
PG16,ZENV16_1202_7,1
VRC01,VC1_E14_109920_044,1
PGT145,BAL_26,1
2F5,MS208_A1,1
VRC07-523LS.v34,CNE30,1
VRC07,703010200_1E5,1
CH98,WITO4160_33,1
N49P7.2,6041_V3_C23,1
VRC07-523LS.v14,45_01DG5,1
PGT151,T251_18,1
VRC42.02,DU156_12,1
10E8,CM244_EC1,1
PCT64-35S,ZM233_6,1
DH270.1,CH848_D526_25_09,1
PG9,VC4_15_130811_176,1
PCT64-35D,DU156_12,1
VRC42.02,DJ263_8,1
N49P7.1,928_28,1
EN01_007,20198102_E9_G1,1
PGT131,JRCSF,1
N49P7.2,MS208_A1,1
VRC-PG04,CNE57,1
PGDM1400,16055_2_3,1
PGT126,211_9,1
10E8,CAP258_2_00_X_23,1
VRC26.19,CAP256_SU,1
10E8v4,V704_2541_080_RE_P003S,1
DH563,DU172_17,1
VRC26.25,11_3_J9,1
49G2,ZM233_6,1
4E10,CAP317_2_00_D4_10,1
LJF-0109,X1632_S2_B10,1
LJF-0024,R1166_C1,1
PGT127,94UG114,1
PC39-50I,BAL_01,1
DF1W-a.02,T253_11,1
PGT128,CAP340_2_00_B3_16,1
VRC40.01,0330_V4_C3,1
10E8,HUB32_3,1
VRC01,SC13_EC26,1
10-1074,57128_VRC15,1
PGT126,SH6_81,1
VRC26.26,SC422_8,1
DH511.12P,0330_V4_C3,1
PG16,B015_ENV04,1
VRC40.02,CNE30,1
N49P7.1,Q23_17,1
VRC34.01_Combo1,MI369_A5,1
PGT145,TSG22Y04A0011_H11,1
VRC01,TSG_EHI36,1
35O22,SC13_EC21,1
PC39-50L,X1193_C1,1
VRC26.08,3326_V4_C3,1
PGT145,S52026_432WK_C83,1
10E8,434239_AA058_A04R,1
N6LS.C1,C1080_C3,1
3BNC117,21261106_C12_H2,1
DFPH-a.01,TZBD_02,1
PC39-61B,T255_34,1
PGDM1400,PG37066_J1,1
3BNC117,1536_V15_C11_2,1
35O22,191955_A11,1
VRC26.18,KER2018_11,1
12A12,3817_V2_C59,1
VRC42.N1,TV1_29,1
10E8,SC422_8,1
VRC-CH31,WEAU_D15_410,1
PCIN71O,TRJO4551_58,1
7H6,SC13_EC21,1
N49P11,R2184_C4,1
VRC07-523LS.v14,6535_3,1
VRC07,706010164_1A7_REV,1
VRC26.19,Q842_D12,1
10E8v4,X1193_C1,1
PC39-17A,0260_V5_C1,1
10E8v4,ZM246F,1
PCIN71G,CE2060_G9,1
b12,98IN022,1
PG9,X1193_C1,1
PGT151,0330_V4_C3,1
VRC01.23LS,KNH1209_18,1
6070-a.01,CNE17,1
10E8,GX28_31,1
179NC75,THRO4156,1
VRC08c,703010217_B6,1
PGT121,CAP206_1_B5,1
PGT121,2990_BL_E5_2,1
2N5,JRFL,1
PCIN71J2a,BAL_01,1
PGT145,20915593,1
vFP20.01,CNE57,1
4E10,UG037_8,1
VRC42.04,3337_V2_C6,1
N6,CE1176_A3,1
PC39-61A,6480_V4_C25,1
BG24,MS208_A1,1
4E10,QD435_100M_A4,1
DH511.11P,X1193_C1,1
LJF-0097,ZM109_4,1
EN02_04_A06,WITO4160_33,1
QA013.2,CH119_10,1
10-1074,9009SA_A4_2,1
SF5,001428_2_42,1
PGT121,DRVI01_0912_2,1
VRC-PG04,S30440_173WK_C66,1
NIH45-46,0404_BM_G3,1
VRC-CH31,BC11,1
PGT128,QH0692_42,1
PGDM1400,1056_10_TA11_1826,1
EN02_04_A06,V703_1945_090S_2F1,1
2F5,CNE3,1
AIIMS-P01,AC10_29,1
N49P9,ZM214_15,1
3BNC117,6292_V7_A11_1,1
PGT123,0330_V4_C3,1
561_01_18,6480_V4_C25,1
N6LS.C30,CNE57,1
4E10,CNE6,1
CH235.12,6095_V1_C10,1
RHA1.V2.01,X2278_C2_B6,1
4E10,126652V01_EC5,1
PGT121,BAL_26,1
PGT121,SHIV_CNE40_JD14_W29_16,1
MinVRC01,ADA,1
VRC38.09,BG505_W6M_C2,1
PC39-39A,JRFL,1
10-1074,AIIMS731_73105B,1
3BNC117,RBF208,1
VRC26.09,3016_V6_C3,1
10E8,SHIV_CNE40_JD14_W29_3,1
10E8,CBJC504_09_08,1
VRC34.01,TSG21Y02E0014_D14,1
PGT128,1054_07_TC4_1499,1
FD22,CNE55,1
VRC08c,TRO_11,1
PGT121,VC1_E14_110488_011,1
CH235.12,V704_1180_070ESN,1
8ANC195,703357_C2,1
PGT127,RHPA4259_7,1
PGZL1,DH12,1
4E10,1006_11_C3_1601,1
VRC26.25,2_7_J1,1
VRC42.02,AC10_29,1
VRC07-523LS.v34,T280_5,1
4E10,MUW101769A_EC04,1
10E8-19fH/10fL,ZA012_29,1
VRC43.01,CNE8,1
N6LS.C1,3468_V1_C12,1
7H6,B012_ENV02,1
VRC01,V704_2164_030_ESN,1
